Parameter Name	Value
Family	PIC32MX1xx
Max Speed MHz	50
Program Memory Size (KB)	128
RAM (KB)	32
Auxiliary Flash (KB)	3
Temperature Range (C)	-40 to 105
Operating Voltage Range (V)	2.3 to 3.6
DMA Channels	4
SPITM	2
I2CTM Compatible	2
CODEC Interface (I2S,AC97)	Yes
Peripheral Pin Select (PPS) Crossbar	Yes
CTMU	Yes
A/D channels	10
Max A/D Resolution	10
Max A/D Sample Rate (KSPS)	1100
Input Capture	5
Output Compare/Std. PWM	5
16-bit Digital Timers	5
Parallel Port	PMP
Comparators	3
Internal Oscillator	8 MHz, 32 kHz
I/O Pins	21
Pin Count	28
